('so bad', 0.8450980400142568, 0)
('waste of', 0.8450980400142568, 0)
('awful', 0.8166095022028192, 0)
('super', 0.8129133566428556, 1)
('painfully', 0.7112044607530305, 0)
('dull', 0.6092385759550858, 0)
('worst', 0.5829249808877014, 0)
('love it', 0.47712125471966244, 1)
('brilliant', 0.40248763642275825, 1)
('my god', 0.3979400086720376, 1)
('wonderful', 0.3357921019231931, 1)
('remarkable', 0.3010299956639812, 1)
('disappoint', 0.3010299956639812, 0)
('fast forward', 0.3010299956639812, 0)
('must see', 0.3010299956639812, 1)
('bad', 0.281349856002728, 0)
('not even', 0.25272531608942617, 0)
('beautiful', 0.24629120608401625, 1)
('kick', 0.23408320603336796, 1)
('very good', 0.21307482530885122, 1)
('still', 0.14987197681211267, 1)
('kill', 0.13525500508427613, 0)
('?', 0.1329343420255315, 0)
('believe me', 0.12493873660829993, 0)
('!', 0.12299558132229785, 0)
('poor', 0.12240640009290486, 0)
('love', 0.1202508555116475, 1)
('.', 0.0014647382582737313, 1)
